;5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;7.000;11.000;19.000;105.000;67.000;93.000;104.000
