;5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;14.000;13.000;24.000;87.000;71.000;83.000;101.000
