;5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160
0;6.00000;66.00000;49.00000;26.00000;3.00000;15.00000;6.00000;8.00000;63.00000;4.00000;0.00000;2.00000;1.00000;12.00000;0.00000;0.00000;16.00000;15.00000;3.00000;25.00000;8.00000;3.00000;2.00000;18.00000;7.00000;22.00000;20.00000;8.00000;14.00000;22.00000;0.00000;1.00000
